,Field,Type,Default Aggregation,Field Calculation,Dup_Calc,Dup_Field
369,Claims PMPY - Difference (absolute value),real,,"ABS((
    (SUM(ZN([Act_Claims])) / [# of Months to Date (copy)])*12
) 
/
SUM({ FIXED [Client], [Population],[FilledYear]:MAX([Act_Members])})-[Rx PMPY - Actual (copy)])",,
266,Claims PMPY YTD (Down),string,,"IF [YTD Difference (copy)]<0 THEN ""▼ "" + STR(ROUND([YTD Difference (copy)]*100,1))+""%"" END",,
258,Claims PMPY YTD (Up),string,,"IF [YTD Difference (copy)]>=0 THEN ""▲ "" + STR(ROUND([YTD Difference (copy)]*100,1))+""%"" END",,
132,Claims PMPY YTD (Up/Down),string,,"IF 
[YTD Difference (copy)]>0 
THEN ""▲ "" + STR(ROUND([YTD Difference (copy)]*100,1))+""%"" 
ELSEIF [YTD Difference (copy)]<0 
THEN ""▼ "" + STR(ROUND(ABS([YTD Difference (copy)]*100),1))+""%"" 
ELSE STR(ROUND([YTD Difference (copy)]*100,1))+""%"" 
END",,
179,Claims PMPY YTD Difference,real,,([Rx PMPY - Actual (for trends) (copy)]-[Rx PMPY - Actual (CY) (copy)])/[Rx PMPY - Actual (CY) (copy)],,
255,Client,string,,,,
189,Client Parameter,string,,"""Training""",,
99,Commercial,string,,,,
194,Contract,string,,,,
298,Contract Members,real,,,,
317,Contract Members (LOD),real,,"{FIXED  [Client], [Contract], [PBP], YEAR([Quarter]) : AVG([Contract_Members])}

//Membership is provided at a quarterly client level by contract/PBP.  
//Avg/Min/Max would all provide same number.",,
192,Core,string,,,,
289,Core Category,string,,,,
1,Country,string,,,,
508,Current Year Filter,string,,If YEAR([FilledYear]) = [Parameters].[Parameter 5] THEN 'Show Year' ELSE 'Hide Year' END,,
11,Customer ID,string,,,,
9,Customer Name,string,,,,
5,Discount,real,,,,
410,Discount % (% Difference) (Down),string,,"IIF((([AWP per Claim (Actual) (copy)]-[Ingredient Cost per Claim (Actual) (copy)])/[AWP per Claim (Actual) (copy)]-[Discount% - Actual (copy)])<0, ""▼ ""+STR(ROUND((([AWP per Claim (Actual) (copy)]-[Ingredient Cost per Claim (Actual) (copy)])/[AWP per Claim (Actual) (copy)]-[Discount% - Actual (copy)])*100,1))+""%"","""")",,
443,Discount % (% Difference) (Up),string,,"IIF((([AWP per Claim (Actual) (copy)]-[Ingredient Cost per Claim (Actual) (copy)])/[AWP per Claim (Actual) (copy)]-[Discount% - Actual (copy)])>=0, ""▲ ""+STR(ROUND((([AWP per Claim (Actual) (copy)]-[Ingredient Cost per Claim (Actual) (copy)])/[AWP per Claim (Actual) (copy)]-[Discount% - Actual (copy)])*100,1))+""%"","""")",,
343,Discount % (% Difference) (Up/Down),string,,"IF (([AWP per Claim (Actual) (copy)]-[Ingredient Cost per Claim (Actual) (copy)])/[AWP per Claim (Actual) (copy)]-[Discount% - Actual (copy)]) > 0 
THEN ""▲ "" + STR(ROUND(ABS((([AWP per Claim (Actual) (copy)]-[Ingredient Cost per Claim (Actual) (copy)])/[AWP per Claim (Actual) (copy)]-[Discount% - Actual (copy)])*100),1)) + ""%""
ELSEIF (([AWP per Claim (Actual) (copy)]-[Ingredient Cost per Claim (Actual) (copy)])/[AWP per Claim (Actual) (copy)]-[Discount% - Actual (copy)]) < 0
THEN ""▼ "" + STR(ROUND(ABS((([AWP per Claim (Actual) (copy)]-[Ingredient Cost per Claim (Actual) (copy)])/[AWP per Claim (Actual) (copy)]-[Discount% - Actual (copy)]))*100,1)) + ""%""
ELSE STR(ROUND((([AWP per Claim (Actual) (copy)]-[Ingredient Cost per Claim (Actual) (copy)])/[AWP per Claim (Actual) (copy)]-[Discount% - Actual (copy)])*100,1)) + ""%""
END",,
439,Discount AWP per Claim (Actual),real,,"SUM(IF [Exclude] = 'N' THEN [Act_AWP] END)
/
SUM(IF [Exclude] = 'N' THEN [Act_Claims] END)",,
405,Discount AWP per Claim (Projection),real,,"SUM(IF [Exclude] = 'N' THEN [Projection_AWP] END)
/
SUM(If [Exclude] = 'N' THEN [Projection_Claims] END)",,
435,Discount Act Claims,real,,If [Exclude] = 'N' THEN [Act_Claims] END,,
432,Discount Act IngCost,real,,If [Exclude] = 'N' THEN [Act_IngCost] END,,
450,Discount Brand Indicator,integer,,"IF [ClaimType] = 'Brand'
THEN 1
ELSE NULL
END",,
453,Discount Claims,real,,IF [Exclude] = 'N' THEN [Act_Claims] END,,
545,Discount Exclude,string,,"IF [Parameters].[Parameter 7] = 'Discount %' THEN
    [Exclude]
ELSE
    'N'
END",,
481,Discount Exclusion,string,,"IF [Parameters].[Parameter 4] = 'Discount %' THEN
    [Exclude]
ELSE
    'N'
END",,
386,Discount Generic Indicator,integer,,"IF [ClaimType] != 'Brand'
THEN 1
ELSE NULL
END",,
234,Discount Ingredient Cost,real,,"IF [Exclude]=""N"" THEN [Act_IngCost] END",,
438,Discount Ingredient Cost PMPM (Actual),real,,"SUM(If [Exclude] = 'N' THEN [Act_IngCost] END)/[# of Months to Date (copy)]*SUM({ FIXED [Client], [Population],[FilledYear]:MAX([Act_Members])})",,
362,Discount Ingredient Cost PMPM (Projection),real,,SUM(If [Exclude] = 'N' THEN [Projection_IngCost] END)/[Mbr Months - Actual (copy)],,
383,Discount Ingredient Cost per Claim (Actual),real,,SUM(If [Exclude] = 'N' THEN [Act_IngCost] END)/SUM(IF [Exclude] = 'N' THEN [Act_Claims] END),,
392,Discount Ingredient Cost per Claim (Projection),real,,"SUM(If [Exclude] = 'N' THEN [Projection_IngCost] END)
/
SUM(If [Exclude] = 'N' THEN [Projection_Claims] END)",,
428,Discount Projection AWP,real,,IF [Exclude] = 'N' THEN [Projection_AWP] END,,
387,Discount Projection Claims,real,,If [Exclude] = 'N' THEN [Projection_Claims] END,,
431,Discount Projection IngCost,real,,If [Exclude] = 'N' THEN [Projection_IngCost] END,,
361,Discount% (% Difference),real,,(([AWP per Claim (Actual) (copy)]-[Ingredient Cost per Claim (Actual) (copy)])/[AWP per Claim (Actual) (copy)]-[Discount% - Actual (copy)]),,1
423,Discount% (Actual),real,,([AWP per Claim (Actual) (copy)]-[Ingredient Cost per Claim (Actual) (copy)])/[AWP per Claim (Actual) (copy)],,1
357,Discount% (Actual) (for table header),real,,([AWP per Claim (Actual) (copy)]-[Ingredient Cost per Claim (Actual) (copy)])/[AWP per Claim (Actual) (copy)],,1
416,Discount% (Difference),real,,(([AWP per Claim (Actual) (copy)]-[Ingredient Cost per Claim (Actual) (copy)])/[AWP per Claim (Actual) (copy)]-[Discount% - Actual (copy)]),,1
398,Discount% (Projection),real,,([Discount AWP per Claim (Actual) (copy)]-[Discount Ingredient Cost per Claim (Actual) (copy)])/[Discount AWP per Claim (Actual) (copy)],,
430,Discount% (Projection) (for table header),real,,[Discount% - Actual (copy)],,
409,Discount% Brand (% Difference),real,,"ZN(
    ((sum(IF [ClaimType] = 'Brand'
THEN 1
ELSE NULL
END*IF [Exclude] = 'N' THEN [Act_AWP] END) - sum(IF [ClaimType] = 'Brand'
THEN 1
ELSE NULL
END*If [Exclude] = 'N' THEN [Act_IngCost] END)) / sum(IF [ClaimType] = 'Brand'
THEN 1
ELSE NULL
END*IF [Exclude] = 'N' THEN [Act_AWP] END)) 
    - 
    ((sum(IF [Exclude] = 'N' THEN [Projection_AWP] END*IF [ClaimType] = 'Brand'
THEN 1
ELSE NULL
END) - sum(IF [ClaimType] = 'Brand'
THEN 1
ELSE NULL
END*If [Exclude] = 'N' THEN [Projection_IngCost] END)) / sum(IF [Exclude] = 'N' THEN [Projection_AWP] END*IF [ClaimType] = 'Brand'
THEN 1
ELSE NULL
END))
)
/
((sum(IF [Exclude] = 'N' THEN [Projection_AWP] END*IF [ClaimType] = 'Brand'
THEN 1
ELSE NULL
END) - sum(IF [ClaimType] = 'Brand'
THEN 1
ELSE NULL
END*If [Exclude] = 'N' THEN [Projection_IngCost] END)) / sum(IF [Exclude] = 'N' THEN [Projection_AWP] END*IF [ClaimType] = 'Brand'
THEN 1
ELSE NULL
END))",,
353,Discount% Brand (% Difference) (Up/Down) ,string,,"IF [Discount% Brand (Projection) (copy 2)] > 0 
THEN ""▼ "" + STR(ROUND(ABS([Discount% Brand (Projection) (copy 2)]*100),1)) + ""%""
ELSEIF[Discount% Brand (Projection) (copy 2)] < 0
THEN ""▲ "" + STR(ROUND(ABS([Discount% Brand (Projection) (copy 2)])*100,1)) + ""%""
ELSE STR(ROUND([Discount% Brand (Projection) (copy 2)]*100,1)) + ""%""
END",,
437,Discount% Brand (Projection),real,,"ZN(
    ((sum(IF [ClaimType] = 'Brand'
THEN 1
ELSE NULL
END*IF [Exclude] = 'N' THEN [Projection_AWP] END) - sum(IF [ClaimType] = 'Brand'
THEN 1
ELSE NULL
END*If [Exclude] = 'N' THEN [Projection_IngCost] END))
        /
        sum(IF [Exclude] = 'N' THEN [Projection_AWP] END*IF [ClaimType] = 'Brand'
THEN 1
ELSE NULL
END)
    )
)",,
391,Discount% Generic (% Difference),real,,"//ZN((sum([Discount Generic Indicator]*[Act IngCost])/sum([Discount Generic Indicator]*[Act AWP])) - (sum([Discount Generic Indicator]*[Projection IngCost])/sum([Projection AWP]*[Discount Generic Indicator])))

ZN(
    ((sum([Discount Brand Indicator (copy)]*IF [Exclude] = 'N' THEN [Act_AWP] END) - sum([Discount Brand Indicator (copy)]*If [Exclude] = 'N' THEN [Act_IngCost] END)) / sum([Discount Brand Indicator (copy)]*IF [Exclude] = 'N' THEN [Act_AWP] END)) 
    - 
    ((sum(IF [Exclude] = 'N' THEN [Projection_AWP] END*[Discount Brand Indicator (copy)]) - sum([Discount Brand Indicator (copy)]*If [Exclude] = 'N' THEN [Projection_IngCost] END)) / sum(IF [Exclude] = 'N' THEN [Projection_AWP] END*[Discount Brand Indicator (copy)]))
)
/
((sum(IF [Exclude] = 'N' THEN [Projection_AWP] END*[Discount Brand Indicator (copy)]) - sum([Discount Brand Indicator (copy)]*If [Exclude] = 'N' THEN [Projection_IngCost] END)) / sum(IF [Exclude] = 'N' THEN [Projection_AWP] END*[Discount Brand Indicator (copy)]))",,
421,Discount% Generic (% Difference) (Up/Down),string,,"IF [Discount% Brand (% Difference) (copy)] > 0 
THEN ""▼ "" + STR(ROUND(ABS([Discount% Brand (% Difference) (copy)]*100),1)) + ""%""
ELSEIF[Discount% Brand (% Difference) (copy)] < 0
THEN ""▲ "" + STR(ROUND(ABS([Discount% Brand (% Difference) (copy)])*100,1)) + ""%""
ELSE STR(ROUND([Discount% Brand (% Difference) (copy)]*100,1)) + ""%""
END",,
457,Discount% Generic (Projection),real,,ZN(1 - (sum([Discount Brand Indicator (copy)]*If [Exclude] = 'N' THEN [Projection_IngCost] END)/sum(IF [Exclude] = 'N' THEN [Projection_AWP] END*[Discount Brand Indicator (copy)]))),,
98,Discounts ,integer,,"IF [Discounts] = ""X"" THEN 1 ELSE 0 END",,
488,Drug Name,string,,,,
352,Drug Name (Claim Type),string,,"[Drugname] + "" ("" + [ClaimType] + "")""",,
217,Drug Type,string,,,,
363,DrugType,string,,,,
238,Drugname,string,,,,
250,Exclude Flag (Discount-Related),string,,,,
275,Exec Summary,string,,,,
91,Executive Summary ,integer,,IF LOWER([Executive Summary]) = 'x' THEN 1 END,,
222,Filled Month,date,,,,
277,Filled Year,date,,,,
477,Filled Year (Tooltip),integer,,INT(YEAR([FilledYear])),,
408,Filled Year (for Tooltips),datetime,,"DATEADD('year', -2, [FilledYear])",,
476,FilledMonth,date,,,,
461,FilledMonth (Quarters),date,,"DATE(DATETRUNC('quarter', [FilledMonth]))",,
456,FilledYear,date,,,,
372,Filter for Current Year (Exec Summary),boolean,,YEAR([FilledYear])=YEAR([AsOf]),,
219,GPI,string,,,,
449,GUR (% Difference) (Down),string,,"IIF((ZN(SUM(ZN(IF [ClaimType]<>""Brand""
THEN ZN([Act_Claims])
END))/SUM(ZN([Act_Claims])))-[GUR - Actual (copy)])/[GUR - Actual (copy)]<0, ""▼ ""+STR(ROUND((ZN(SUM(ZN(IF [ClaimType]<>""Brand""
THEN ZN([Act_Claims])
END))/SUM(ZN([Act_Claims])))-[GUR - Actual (copy)])/[GUR - Actual (copy)]*100,1))+""%"","""")",,
407,GUR (% Difference) (Up),string,,"IIF((ZN(SUM(ZN(IF [ClaimType]<>""Brand""
THEN ZN([Act_Claims])
END))/SUM(ZN([Act_Claims])))-[GUR - Actual (copy)])/[GUR - Actual (copy)]>=0, ""▲ ""+STR(ROUND((ZN(SUM(ZN(IF [ClaimType]<>""Brand""
THEN ZN([Act_Claims])
END))/SUM(ZN([Act_Claims])))-[GUR - Actual (copy)])/[GUR - Actual (copy)]*100,1))+""%"","""")",,
384,GUR (% Difference) (Up/Down),string,,"IF (ZN(SUM(ZN(IF [ClaimType]<>""Brand""
THEN ZN([Act_Claims])
END))/SUM(ZN([Act_Claims])))-[GUR - Actual (copy)])/[GUR - Actual (copy)] > 0
THEN ""▼ "" + STR(ROUND(ABS((ZN(SUM(ZN(IF [ClaimType]<>""Brand""
THEN ZN([Act_Claims])
END))/SUM(ZN([Act_Claims])))-[GUR - Actual (copy)])/[GUR - Actual (copy)])*100,1)) + ""%""
ELSEIF (ZN(SUM(ZN(IF [ClaimType]<>""Brand""
THEN ZN([Act_Claims])
END))/SUM(ZN([Act_Claims])))-[GUR - Actual (copy)])/[GUR - Actual (copy)] < 0
THEN ""▲ "" + STR(ROUND(ABS((ZN(SUM(ZN(IF [ClaimType]<>""Brand""
THEN ZN([Act_Claims])
END))/SUM(ZN([Act_Claims])))-[GUR - Actual (copy)])/[GUR - Actual (copy)]*100),1)) + ""%""
ELSE STR(ROUND((ZN(SUM(ZN(IF [ClaimType]<>""Brand""
THEN ZN([Act_Claims])
END))/SUM(ZN([Act_Claims])))-[GUR - Actual (copy)])/[GUR - Actual (copy)]*100,1)) + ""%""
END",,
356,GUR (Actual),real,,"ZN(SUM(ZN(IF [ClaimType]<>""Brand""
THEN ZN([Act_Claims])
END))/SUM(ZN([Act_Claims])))",,
429,GUR (Difference),real,,"(ZN(SUM(ZN(IF [ClaimType]<>""Brand""
THEN ZN([Act_Claims])
END))/SUM(ZN([Act_Claims])))-[GUR - Actual (copy)])/[GUR - Actual (copy)]",,
358,GUR (Projection),real,,"SUM([Rx Generic - Actual (copy)])/SUM(ZN([Projection_Claims])*DATEDIFF('day', DATE('1-1-' + STR(YEAR([AsOf]))), [AsOf])/365)",,
367,Generic - ALL,string,,"//STR([Claim Type]<>""Brand"")
IF [ClaimType] <> ""Brand"" THEN ""Generic"" END",,
280,Generic AWP,real,,"IIF([GenericFlag]=""Y"", IF [Exclude]=""N"" THEN [Act_AWP] END,0)",,
455,Generic Claims (Actual),real,,"ZN(IF [ClaimType]<>""Brand""
THEN ZN([Act_Claims])
END)",,
436,Generic Claims (Projection),real,,"ZN(IF [ClaimType]<>""Brand""
THEN ZN([Projection_Claims])*DATEDIFF('day', DATE('1-1-' + STR(YEAR([AsOf]))), [AsOf])/365
END)",,
254,Generic Discount %,real,,(SUM([Brand AWP (copy)])-SUM([Brand Ingredient Cost (copy)]))/SUM([Brand AWP (copy)]),,
186,Generic Discount % YoY Difference,real,,"((SUM(IF IF YEAR([ThruDate])=DATEPART('year',[FilledMonth]) AND DATEPART('month',[FilledMonth]) <= DATEPART('month',[ThruDate]) THEN ""Current Year""
ELSEIF YEAR([ThruDate])-1=DATEPART('year',[FilledMonth]) THEN ""Prior Year""
ELSE ""2 Years Ago""
END=""Current Year"" AND [GenericFlag]=""Y"" THEN
IF [Exclude]=""N"" THEN [Act_AWP] END END)-SUM(IF IF YEAR([ThruDate])=DATEPART('year',[FilledMonth]) AND DATEPART('month',[FilledMonth]) <= DATEPART('month',[ThruDate]) THEN ""Current Year""
ELSEIF YEAR([ThruDate])-1=DATEPART('year',[FilledMonth]) THEN ""Prior Year""
ELSE ""2 Years Ago""
END=""Current Year"" AND [GenericFlag]=""Y"" THEN
IF [Exclude]=""N"" THEN [Act_IngCost] END END))/SUM(IF IF YEAR([ThruDate])=DATEPART('year',[FilledMonth]) AND DATEPART('month',[FilledMonth]) <= DATEPART('month',[ThruDate]) THEN ""Current Year""
ELSEIF YEAR([ThruDate])-1=DATEPART('year',[FilledMonth]) THEN ""Prior Year""
ELSE ""2 Years Ago""
END=""Current Year"" AND [GenericFlag]=""Y"" THEN
IF [Exclude]=""N"" THEN [Act_AWP] END END)-[PY Brand Discount % (copy)])/[PY Brand Discount % (copy)]",,
260,Generic Discount YTD (Down),string,,"IF [Brand Discount % YoY Difference (copy)]<0 THEN ""▼ "" + STR(ROUND([Brand Discount % YoY Difference (copy)]*100,1))+""%"" END",,
196,Generic Discount YTD (Up),string,,"IF [Brand Discount % YoY Difference (copy)]>=0 THEN ""▲ "" + STR(ROUND([Brand Discount % YoY Difference (copy)]*100,1))+""%"" END",,
214,Generic Discount YTD (Up/Down),string,,"IF [Brand Discount % YoY Difference (copy)]>=0 
THEN ""▲ "" + STR(ROUND([Brand Discount % YoY Difference (copy)]*100,1))+""%""
ELSEIF [Brand Discount % YoY Difference (copy)]<0 
THEN ""▼ "" + STR(ROUND(ABS([Brand Discount % YoY Difference (copy)]*100),1))+""%"" 
ELSE STR(ROUND([Brand Discount % YoY Difference (copy)]*100,1))+""%"" 
END",,
213,Generic Flag,string,,,,
146,Generic Ingredient Cost,real,,"IIF([GenericFlag]=""Y"", IF [Exclude]=""N"" THEN [Act_IngCost] END,0)",,
375,Generic MAC,string,,"IF[ClaimType]=""Generic MAC"" THEN[ClaimType]END",,
163,Generic Utiilization Rate YoY Difference,real,,"(SUM(IF IF YEAR([ThruDate])=DATEPART('year',[FilledMonth]) AND DATEPART('month',[FilledMonth]) <= DATEPART('month',[ThruDate]) THEN ""Current Year""
ELSEIF YEAR([ThruDate])-1=DATEPART('year',[FilledMonth]) THEN ""Prior Year""
ELSE ""2 Years Ago""
END=""Current Year"" AND [GenericFlag]=""Y"" THEN
[Act_Claims] END)/SUM([Multiple Measure Formats (copy 2)])-[PY Claims PMPY (copy)])/[PY Claims PMPY (copy)]",,
107,Generic Utilization Rate YTD (Down),string,,"IF [Brand Discount % YoY Difference (copy 2)]<0 THEN ""▼ "" + STR(ROUND([Brand Discount % YoY Difference (copy 2)]*100,1))+""%"" END",,
137,Generic Utilization Rate YTD (Up),string,,"IF [Brand Discount % YoY Difference (copy 2)]>=0 THEN ""▲ "" + STR(ROUND([Brand Discount % YoY Difference (copy 2)]*100,1))+""%"" END",,
170,Generic Utilization Rate YTD (Up/Down),string,,"IF [Brand Discount % YoY Difference (copy 2)]>=0 
THEN ""▲ "" + STR(ROUND([Brand Discount % YoY Difference (copy 2)]*100,1))+""%""
ELSEIF [Brand Discount % YoY Difference (copy 2)]<0 
THEN ""▼ "" + STR(ROUND(ABS([Brand Discount % YoY Difference (copy 2)]*100),1))+""%"" 
ELSE STR(ROUND([Brand Discount % YoY Difference (copy 2)]*100,1))+""%"" 
END",,
382,GenericFlag,string,,,,
97,Geography ,integer,,IF LOWER([Geo]) = 'x' THEN 1 END,,
427,Help,string,,"""Help""",,
140,Info - Select Month,integer,,INDEX(),,
89,Ingredient Cost ,integer,,"IF [Ingredient Cost] = ""X"" THEN 1 ELSE 0 END",,
454,Ingredient Cost ($ Difference),real,,[Actuals (copy 2)]-[Projection (copy)],,
451,Ingredient Cost (Actual),real,,"CASE [Parameters].[Measure Selector (copy)]
    WHEN ""IC PMPM"" THEN ZN(SUM([Act_IngCost])/[# of Months to Date (copy)]*SUM({ FIXED [Client], [Population],[FilledYear]:MAX([Act_Members])}))
    WHEN ""IC/Rx"" THEN ZN(SUM([Act_IngCost])/SUM([Act_Claims]))
 END",,
440,Ingredient Cost (Projection),real,,"CASE [Parameters].[Measure Selector (copy)]
    WHEN ""IC PMPM"" THEN [IC PMPM - Actual (copy)]
    WHEN ""IC/Rx"" THEN [Avg IC - Actual (copy)]
  END",,
448,Ingredient Cost PMPM (% Difference),real,,"(ZN(SUM([Act_IngCost])/[# of Months to Date (copy)]*SUM({ FIXED [Client], [Population],[FilledYear]:MAX([Act_Members])}))-[IC PMPM - Actual (copy)])/[IC PMPM - Actual (copy)]",,
441,Ingredient Cost PMPM (% Difference) (Down),string,,"IIF((ZN(SUM([Act_IngCost])/[# of Months to Date (copy)]*SUM({ FIXED [Client], [Population],[FilledYear]:MAX([Act_Members])}))-[IC PMPM - Actual (copy)])/[IC PMPM - Actual (copy)]<0, ""▼ ""+STR(ROUND((ZN(SUM([Act_IngCost])/[# of Months to Date (copy)]*SUM({ FIXED [Client], [Population],[FilledYear]:MAX([Act_Members])}))-[IC PMPM - Actual (copy)])/[IC PMPM - Actual (copy)]*100,1))+""%"","""")",,
399,Ingredient Cost PMPM (% Difference) (Up),string,,"IIF((ZN(SUM([Act_IngCost])/[# of Months to Date (copy)]*SUM({ FIXED [Client], [Population],[FilledYear]:MAX([Act_Members])}))-[IC PMPM - Actual (copy)])/[IC PMPM - Actual (copy)]>=0, ""▲ ""+STR(ROUND((ZN(SUM([Act_IngCost])/[# of Months to Date (copy)]*SUM({ FIXED [Client], [Population],[FilledYear]:MAX([Act_Members])}))-[IC PMPM - Actual (copy)])/[IC PMPM - Actual (copy)]*100,1))+""%"","""")",,
347,Ingredient Cost PMPM (% Difference) (Up/Down),string,,"IF (ZN(SUM([Act_IngCost])/[# of Months to Date (copy)]*SUM({ FIXED [Client], [Population],[FilledYear]:MAX([Act_Members])}))-[IC PMPM - Actual (copy)])/[IC PMPM - Actual (copy)] > 0
THEN ""▼ "" + STR(ROUND(ABS((ZN(SUM([Act_IngCost])/[# of Months to Date (copy)]*SUM({ FIXED [Client], [Population],[FilledYear]:MAX([Act_Members])}))-[IC PMPM - Actual (copy)])/[IC PMPM - Actual (copy)])*100,1)) + ""%""
ELSEIF (ZN(SUM([Act_IngCost])/[# of Months to Date (copy)]*SUM({ FIXED [Client], [Population],[FilledYear]:MAX([Act_Members])}))-[IC PMPM - Actual (copy)])/[IC PMPM - Actual (copy)] < 0
THEN ""▲ "" + STR(ROUND(ABS((ZN(SUM([Act_IngCost])/[# of Months to Date (copy)]*SUM({ FIXED [Client], [Population],[FilledYear]:MAX([Act_Members])}))-[IC PMPM - Actual (copy)])/[IC PMPM - Actual (copy)]*100),1)) + ""%""
ELSE STR(ROUND((ZN(SUM([Act_IngCost])/[# of Months to Date (copy)]*SUM({ FIXED [Client], [Population],[FilledYear]:MAX([Act_Members])}))-[IC PMPM - Actual (copy)])/[IC PMPM - Actual (copy)]*100,1))+""%""
END",,
379,Ingredient Cost PMPM (Actual),real,,"ZN(SUM([Act_IngCost])/[# of Months to Date (copy)]*SUM({ FIXED [Client], [Population],[FilledYear]:MAX([Act_Members])}))",,
419,Ingredient Cost PMPM (Projection),real,,ZN(SUM([Projection_IngCost])/[Mbr Months - Actual (copy)]),,
199,Ingredient Cost PMPM YTD (Down),string,,"IF [Claims PMPY YTD Difference (copy)]<0 THEN ""▼ "" + STR(ROUND([Claims PMPY YTD Difference (copy)]*100,1))+""%"" END",,
162,Ingredient Cost PMPM YTD (Up),string,,"IF [Claims PMPY YTD Difference (copy)]>=0 THEN ""▲ "" + STR(ROUND([Claims PMPY YTD Difference (copy)]*100,1))+""%"" END",,
276,Ingredient Cost PMPM YTD (Up/Down),string,,"IF [Claims PMPY YTD Difference (copy)]>=0 
THEN ""▲ "" + STR(ROUND([Claims PMPY YTD Difference (copy)]*100,1))+""%"" 
ELSEIF [Claims PMPY YTD Difference (copy)]<0 
THEN ""▼ "" + STR(ROUND(ABS([Claims PMPY YTD Difference (copy)]*100),1))+""%"" 
ELSE STR(ROUND([Claims PMPY YTD Difference (copy)]*100,1))+""%"" 
END",,
123,Ingredient Cost PMPM YTD Difference,real,,([Rx PMPY - Actual (CY) (copy 2)]-[CY IC PMPM (copy)])/[CY IC PMPM (copy)],,
335,Ingredient Cost after Rebates,real,,"IF [Parameters].[Parameter 3]=""per Script"" 
THEN (SUM([Total_IngCost])-SUM([Rebates]))/SUM([Total_Claims])  //if per script, divide ingredient cost less rebates by total claims
ELSE (SUM([Total_IngCost])-SUM([Rebates]))/SUM([Projected Membership (LOD) (copy 2)])/3  //if PMPM, divide ingredient cost less rebates by quarterly membership and 3 (months in quarter)
END",,
338,Ingredient Cost before Rebates,real,,"IF [Parameters].[Parameter 3]=""per Script"" 
THEN (SUM([Total_IngCost]))/SUM([Total_Claims]) //if per script, divide ingredient costs by total claims
ELSE (SUM([Total_IngCost]))/SUM([Projected Membership (LOD) (copy 2)])/3 //if PMPM, divide ingredient costs by quarterly membership and 3 (number of months in quarter)
END",,
178,Ingredient Cost per Claim,real,,SUM([Act_IngCost])/SUM([Act_Claims]),,1
390,Ingredient Cost per Claim (% Difference),real,,(ZN(SUM([Act_IngCost])/SUM([Act_Claims]))-[Avg IC - Actual (copy)])/[Avg IC - Actual (copy)],,
414,Ingredient Cost per Claim (% Difference) (Down),string,,"IIF([Ingredient Cost PMPM (% Difference) (copy)]<0, ""▼ ""+STR(ROUND([Ingredient Cost PMPM (% Difference) (copy)]*100,1))+""%"","""")",,
413,Ingredient Cost per Claim (% Difference) (Up),string,,"IIF([Ingredient Cost PMPM (% Difference) (copy)]>=0, ""▲ ""+STR(ROUND([Ingredient Cost PMPM (% Difference) (copy)]*100,1))+""%"","""")",,
447,Ingredient Cost per Claim (% Difference) (Up/Down),string,,"IF [Ingredient Cost PMPM (% Difference) (copy)] > 0
THEN ""▼ ""+STR(ROUND(ABS([Ingredient Cost PMPM (% Difference) (copy)])*100,1))+""%""
ELSEIF [Ingredient Cost PMPM (% Difference) (copy)] < 0
THEN ""▲ ""+STR(ROUND(ABS([Ingredient Cost PMPM (% Difference) (copy)]*100),1))+""%""
ELSE STR(ROUND([Ingredient Cost PMPM (% Difference) (copy)]*100,1))+""%""
END",,
452,Ingredient Cost per Claim (Actual),real,,ZN(SUM([Act_IngCost])/SUM([Act_Claims])),,1
354,Ingredient Cost per Claim (Actual) (for table headers),real,,ZN(SUM([Act_IngCost])/SUM([Act_Claims])),,1
385,Ingredient Cost per Claim (Projection),real,,ZN(SUM([Projection_IngCost])/SUM([Projection_Claims])),,
396,Ingredient Cost per Claim (Projection) (copy),real,,SUM(IF [Exclude] = 'N' THEN [Projection_IngCost] END)/SUM(IF [Exclude] = 'N' THEN [Projection_Claims] END),,
368,Ingredient Cost per Claim (Projection) (for table headers),real,,[Avg IC - Actual (copy)],,
251,Ingredient Cost per Claim YTD (Down),string,,"IF [Claims PMPY YTD Difference (copy 2)]<0 THEN ""▼ "" + STR(ROUND([Claims PMPY YTD Difference (copy 2)]*100,1))+""%"" END",,
230,Ingredient Cost per Claim YTD (Up),string,,"IF [Claims PMPY YTD Difference (copy 2)]>=0 THEN ""▲ "" + STR(ROUND([Claims PMPY YTD Difference (copy 2)]*100,1))+""%"" END",,
261,Ingredient Cost per Claim YTD (Up/Down),string,,"IF [Claims PMPY YTD Difference (copy 2)]<0 
THEN ""▼ "" + STR(ROUND(ABS([Claims PMPY YTD Difference (copy 2)]*100),1))+""%"" 
ELSEIF [Claims PMPY YTD Difference (copy 2)]>=0 
THEN ""▲ "" + STR(ROUND([Claims PMPY YTD Difference (copy 2)]*100,1))+""%""
ELSE STR(ROUND([Claims PMPY YTD Difference (copy 2)]*100,1))+""%""
END",,
171,Ingredient Cost per Claim YTD Difference,real,,([PY Ingredient Cost per Claim (copy)]-SUM([PY Total Scripts (copy)])/SUM([CY Total Scripts (copy)]))/SUM([PY Total Scripts (copy)])/SUM([CY Total Scripts (copy)]),,
550,Integer Label (Pharmacy),real,,"CASE [Parameters].[Parameter 7]
    WHEN 'Total Claims' THEN [Metric Selector (copy)]
END",,
15,Manufacturer,string,,,,
570,Margin $,real,,[Act_AWP] - [Act_IngCost],,
